os_name,fec_name,district,party,receipts
Catherine Krantz,"KRANTZ, CATHERINE",TX-4,D,23481.02
Dan Wood,"WOOD, DANNY EUGENE JR",TX-5,D,81476.22
Lance Gooden,"GOODEN, LANCE",TX-5,R,595560.00
John Culberson,"CULBERSON, JOHN",TX-7,R,2024361.31
Lizzie Fletcher,"FLETCHER, ELIZABETH",TX-7,D,2321869.63
Steven David,"DAVID, STEVEN",TX-8,D,25044.48
Kevin Brady,"BRADY, KEVIN",TX-8,R,4258369.61
Michael McCaul,"MCCAUL, MICHAEL",TX-10,R,1385579.37
Mike Siegel,"SIEGEL, MICHAEL",TX-10,D,177679.62
Kay Granger,"GRANGER, KAY",TX-12,R,1671633.10
Vanessa Adia,"ADIA, VANESSA MICHELLE",TX-12,D,106715.19
Mac Thornberry,"THORNBERRY, MAC",TX-13,R,1131705.43
Greg Sagan,"SAGAN, GREGORY T. MR.",TX-13,D,21414.06
Vicente Gonzalez,"GONZALEZ, VICENTE",TX-15,D,985424.56
Tim Westley,"WESTLEY, TIMMY LEE",TX-15,R,7491.00
Bill Flores,"FLORES, BILL",TX-17,R,1072083.54
Rick Kennedy,"KENNEDY, RICHARD",TX-17,D,81777.57
Sheila Jackson Lee,"LEE, SHEILA JACKSON",TX-18,D,452824.59
Ava Pate,"PATE, AVA",TX-18,R,9693.41
David Smalling,"SMALLING, DAVID",TX-35,R,29478.00
Lloyd Doggett,"DOGGETT, LLOYD",TX-35,D,608321.58
Mary Jennings Hegar,"HEGAR, MARY JENNINGS MJ",TX-31,D,1618359.43
John Carter,"CARTER, JOHN R. REP.",TX-31,R,1015416.85
Will Hurd,"HURD, WILLIAM",TX-23,R,3057982.97
Gina Jones,"JONES, GINA ORTIZ",TX-23,D,2256366.75
Kenny Marchant,"MARCHANT, KENNY E MR.",TX-24,R,955162.82
Jan McDowell,"MCDOWELL, JAN",TX-24,D,61324.12
Michael Burgess,"BURGESS, MICHAEL C. DR.",TX-26,R,1379429.25
Linsey Fagan,"FAGAN, LINSEY",TX-26,D,94235.23
Michael Cloud,"CLOUD, MICHAEL",TX-27,R,415103.29
Eric Holguin,"HOLGUIN, ERIC",TX-27,D,100683.68
Henry Cuellar,"CUELLAR, HENRY R.",TX-28,D,1212620.79
Eddie Bernice Johnson,"JOHNSON, EDDIE BERNICE",TX-30,D,304430.77
Pete Sessions,"SESSIONS, PETE MR.",TX-32,R,2750175.94
Colin Allred,"ALLRED, COLIN",TX-32,D,1916601.47
Ben McAdams,"MCADAMS, BEN",UT-4,D,1677140.84
Mia Love,"LOVE, MIA",UT-4,R,3309541.85
Scott W Taylor,"TAYLOR, SCOTT W. MR.",VA-2,R,2741096.01
Elaine Luria,"LURIA, ELAINE",VA-2,D,1318925.69
Denver Riggleman,"RIGGLEMAN, DENVER LEE MR. III",VA-5,R,217442.53
Leslie Cockburn,"COCKBURN, LESLIE",VA-5,D,1289472.88
Don Beyer,"BEYER, DONALD STERNOFF HONORABLE JR.",VA-8,D,1587480.65
Thomas Oh,"OH, THOMAS",VA-8,R,17355.00
Morgan Griffith,"GRIFFITH, H MORGAN",VA-9,R,783976.26
Anthony Flaccavento,"FLACCAVENTO, ANTHONY JUDE MR",VA-9,D,317082.95
Jennifer Wexton,"WEXTON, JENNIFER",VA-10,D,1934197.08
Barbara Comstock,"COMSTOCK, BARBARA",VA-10,R,3818909.15
Jeff Dove,"DOVE, JEFFERY ANTHONY MR. JR.",VA-11,R,372691.78
Gerry Connolly,"CONNOLLY, GERALD EDWARD",VA-11,D,1624391.72
Rick Larsen,"LARSEN, RICK",WA-2,D,787867.83
Jaime Herrera Beutler,"HERRERA BEUTLER, JAIME",WA-3,R,1518351.82
Carolyn Long,"LONG, CAROLYN N.",WA-3,D,662064.85
Christine Brown,"BROWN, CHRISTINE CAROL",WA-4,D,266346.87
Dan Newhouse,"NEWHOUSE, DAN",WA-4,R,788146.84
Douglas Dightman,"DIGHTMAN, DOUGLAS",WA-6,R,13300.00
Derek Kilmer,"KILMER, DEREK",WA-6,D,1788299.79
Dino Rossi,"ROSSI, DINO",WA-8,R,3005150.00
Kim Schrier,"SCHRIER, KIM DR.",WA-8,D,1611071.91
Margaret Engebretson,"ENGEBRETSON, MARGARET RUTH",WI-7,D,35926.46
Sean P Duffy,"DUFFY, SEAN",WI-7,R,2974440.90
Gwen Moore,"MOORE, GWEN S",WI-4,D,776392.55
Glenn S Grothman,"GROTHMAN, GLENN S.",WI-6,R,1314788.12
Dan Kohl,"KOHL, DAN",WI-6,D,1723543.30
Mike Gallagher,"GALLAGHER, MICHAEL JOHN",WI-8,R,2208475.06
Beau Liegeois,"LIEGEOIS, BEAU",WI-8,D,161395.67
David McKinley,"MCKINLEY, DAVID B. MR.",WV-1,R,949839.64
Kendra Fershee,"FERSHEE, KENDRA JEAN HUARD",WV-1,D,114629.10
Talley Sergent,"SERGENT, TALLEY",WV-2,D,379074.14
Alex Mooney,"MOONEY, ALEXANDER XAVIER",WV-2,R,1428347.37
Bruce Westerman,"WESTERMAN, BRUCE",AR-4,R,1330852.76
Hayden Shamel,"SHAMEL, HAYDEN CATHERINE",AR-4,D,91334.32
Alan Lowenthal,"LOWENTHAL, ALAN",CA-47,D,568587.30
John Briscoe,"BRISCOE, JOHN",CA-47,R,23775.00
Paul Cook,"COOK, PAUL",CA-8,R,757325.27
Tim Donnelly,"DONNELLY, TIMOTHY M.",CA-8,R,105242.95
Mike Thompson,"THOMPSON, MIKE MR.",CA-5,D,1610159.64
Jared Huffman,"HUFFMAN, JARED",CA-2,D,734206.21
Dale Mensing,"MENSING, DALE KENNETH",CA-2,R,4041.00
David Valadao,"VALADAO, DAVID",CA-21,R,2305339.89
TJ Cox,"COX, TERRANCE JOHN (TJ)",CA-21,D,1326531.95
Andrew Janz,"JANZ, ANDREW",CA-22,D,2872385.87
Devin Nunes,"NUNES, DEVIN GERALD",CA-22,R,7428562.65
Steve Knight,"KNIGHT, STEVE",CA-25,R,1703743.51
Katie Hill,"HILL, KATHERINE LAUREN",CA-25,D,2451456.61
Jimmy Gomez,"GOMEZ, JIMMY",CA-34,D,1358082.78
Lucille Roybal-Allard,"ROYBAL-ALLARD, LUCILLE",CA-40,D,402710.70
Nanette Barragan,"BARRAGAN, NANETTE",CA-44,D,1311276.46
Aja Brown,"BROWN, AJA",CA-44,D,18600.00
Ken Calvert,"CALVERT, KENNETH S",CA-42,R,1241471.02
Julia Peacock,"PEACOCK, JULIA",CA-42,D,94640.00
Gil Cisneros,"CISNEROS, GILBERT",CA-39,D,5512129.68
Young Kim,"KIM, YOUNG",CA-39,R,1283994.39
Mark Takano,"TAKANO, MARK",CA-41,D,811777.78
Aja Smith,"SMITH, AJA",CA-41,R,25560.88
Russell Lambert,"LAMBERT, RUSSELL RENE",CA-46,R,140.00
Lou Correa,"CORREA, JOSE",CA-46,D,866384.87
Dana Rohrabacher,"ROHRABACHER, DANA",CA-48,R,1774411.14
Hans Keirstead,"KEIRSTEAD, HANS",CA-48,D,2178345.46
Juan Vargas,"VARGAS, JUAN CARLOS",CA-51,D,677927.60
Juan Hidalgo,"HIDALGO, JUAN",CA-51,R,31169.85
Scott Peters,"PETERS, SCOTT",CA-52,D,2305520.63
Omar Qudrat,"QUDRAT, OMAR",CA-52,R,282411.27
Jason Crow,"CROW, JASON",CO-6,D,2264940.25
Mike Coffman,"COFFMAN, MIKE REP.",CO-6,R,2375025.54
Diane Mitsch Bush,"MITSCH BUSH, DIANE MS.",CO-3,D,642977.68
Scott Tipton,"TIPTON, SCOTT R. MR.",CO-3,R,988073.54
Stephany Rose Spaulding,"SPAULDING, STEPHANY ROSE",CO-5,D,188007.54
Douglas L Lamborn,"LAMBORN, DOUGLAS",CO-5,R,568526.17
John B Larson,"LARSON, JOHN B",CT-1,D,1239729.98
Barry Loudermilk,"LOUDERMILK, BARRY",GA-11,R,655056.16
Flynn Broady Jr.,"BROADY, FLYNN D. JR.",GA-11,D,34839.54
Richard W Allen,"ALLEN, RICHARD W",GA-12,R,758565.91
Francys Johnson,"JOHNSON, FRANCYS",GA-12,D,116035.86
Steven A. King,"KING, STEVE MR.",IA-4,R,509699.19
J.D. Scholten,"SCHOLTEN, JAMES D.",IA-4,D,776347.19
Robin Kelly,"KELLY, ROBIN",IL-2,D,724302.46
Arthur Jones,"FALVEY, JAMES M",IL-3,R,0
Daniel Lipinski,"LIPINSKI, DANIEL WILLIAM WILLIAM",IL-3,D,1373056.58
Mark Lorch,"LORCH, MARK WAYNE",IL-4,R,8109.36
Jesus Garcia,"GARCIA, JESUS",IL-4,D,677625.12
John Elleson,"ELLESON, JOHN D",IL-9,R,37726.98
Jan Schakowsky,"SCHAKOWSKY, JANICE D",IL-9,D,1254578.77
Brendan Kelly,"KELLY, BRENDAN",IL-12,D,1786472.44
Mike Bost,"BOST, MICHAEL",IL-12,R,1910252.62
Susan Brooks,"BROOKS, SUSAN MRS.",IN-5,R,976366.47
Deirdre Thornton,"THORNTON, DIERDRE",IN-5,D,55516.08
Greg Pence,"PENCE, GREGORY J.",IN-6,R,1686130.97
Jeannine Lee Lake,"LAKE, JEANNINE LEE",IN-6,D,11711.22
Wayne Harmon,"HARMON, WAYNE E",IN-7,R,606.00
Andre Carson,"CARSON, ANDRE",IN-7,D,725723.51
Brett Guthrie,"GUTHRIE, S. BRETT HON.",KY-2,R,1541502.00
Hank Linderman,"LINDERMAN, HANK",KY-2,D,85359.51
Thomas Massie,"MASSIE, THOMAS H.",KY-4,R,248228.18
Seth Hall,"HALL, SETH BLANE 1962",KY-4,D,48972.67
Anthony Brown,"BROWN, ANTHONY",MD-4,D,660956.66
George McDermott,"THERRIEN, DAVID",MD-4,R,19458.15
Jamie Raskin,"RASKIN, JAMIE",MD-8,D,985357.03
John Walsh,"SHUDOFSKY, ARYEH",MD-8,R,0.00
Jason Lewis,"LEWIS, JASON MARK MR.",MN-2,R,1953078.50
Angie Craig,"CRAIG, ANGELA DAWN",MN-2,D,2361641.78
Dean Phillips,"PHILLIPS, DEAN",MN-3,D,2478333.75
Erik Paulsen,"PAULSEN, ERIK MR.",MN-3,R,3852306.34
Jacob Turk,"TURK, JACOB",MO-5,R,9525.84
Emanuel Cleaver,"CLEAVER, EMANUEL II",MO-5,D,817323.67
Walter B Jones Jr.,"JONES, WALTER B",NC-3,R,498034.38
Mark Harris,"HARRIS, MARK E",NC-9,R,931015.62
Dan McCready,"MCCREADY, DANIEL",NC-9,D,2673739.25
Seth Grossman,"GROSSMAN, SETH",NJ-2,R,87841.55
Jeff Van Drew,"VAN DREW, JEFF",NJ-2,D,1043025.47
Jay Webber,"WEBBER, JAY",NJ-11,R,574410.28
Mikie Sherrill,"SHERRILL, REBECCA MICHELLE",NJ-11,D,4236125.63
Xochitl Torres Small,"TORRES SMALL, XOCHITL",NM-2,D,934714.79
Yvette Herrell,"HERRELL, STELLA YVETTE",NM-2,R,522357.36
Steven Horsford,"HORSFORD, STEVEN ALEXZANDER",NV-4,D,683295.05
Cresent Hardy,"HARDY, CRESENT",NV-4,R,21943.61
Pete King,"KING, PETE",NY-2,R,934923.27
Liuba Grechen Shirley,"GRECHEN SHIRLEY, LIUBOV LIUBA",NY-2,D,604261.71
Grace Meng,"MENG, GRACE",NY-6,D,999072.28
Yvette D Clarke,"CLARKE, YVETTE",NY-9,D,883359.75
Lutchi Gayot,"GAYOT, LUTCHI",NY-9,R,3875.00
Hakeem Jeffries,"JEFFRIES, HAKEEM",NY-8,D,1170292.79
Eliot Rabin,"RABIN, ELIOT MR.",NY-12,R,5530.00
Carolyn B Maloney,"MALONEY, CAROLYN B.",NY-12,D,1788258.64
Jerrold Nadler,"NADLER, JERROLD L.",NY-10,D,1147513.95
Naomi Levin,"LEVIN, NAOMI",NY-10,R,27130.00
Nate McMurray,"MCMURRAY, NATHAN DOUGLAS",NY-27,D,133975.00
Chris Collins,"COLLINS, CHRISTOPHER C",NY-27,R,1278748.67
Aftab Pureval,"PUREVAL, AFTAB",OH-1,D,1571516.88
Steve Chabot,"CHABOT, STEVE",OH-1,R,958196.39
Jim Jordan,"JORDAN, JAMES D.",OH-4,R,441525.08
Janet Garrett,"GARRETT, JANET PATRICIA MRS.",OH-4,D,144264.41
Marcy Kaptur,"KAPTUR, MARCY HON. M.C.",OH-9,D,558896.44
Steven Kraus,"KRAUS, STEVEN WAYNE MR.",OH-9,R,11415.23
David P Joyce,"JOYCE, DAVID P",OH-14,R,1559510.22
Betsy Rader,"RADER, ELIZABETH ANNE",OH-14,D,1035034.02
Jason Nichols,"NICHOLS, JASON",OK-2,D,67499.90
Markwayne Mullin,"MULLIN, MARKWAYNE MR.",OK-2,R,1237445.14
Tom Cole,"COLE, TOM",OK-4,R,1439483.57
Suzanne Bonamici,"BONAMICI, SUZANNE MS.",OR-1,D,786532.01
Earl Blumenauer,"BLUMENAUER, EARL",OR-3,D,1032826.82
Dan Meuser,"MEUSER, DANIEL",PA-9,R,1411687.34
Denny Wolff,"WOLFF, DENNY",PA-9,D,453944.61
Lloyd Smucker,"SMUCKER, LLOYD K.",PA-11,R,1247035.49
Jess King,"KING, JESSICA",PA-11,D,782689.51
Susan Boser,"BOSER, SUSAN",PA-15,D,47682.73
Glenn Thompson,"THOMPSON, GLENN",PA-15,R,999019.33
James E Clyburn,"CLYBURN, JAMES E.",SC-6,D,1441055.01
Gerhard Gressmann,"GRESSMANN, GERHARD RALF REV",SC-6,R,8379.28
Joe Wilson,"WILSON, JOE THE HON.",SC-2,R,861484.05
Sean Carrigan,"CARRIGAN, SEAN J MR.",SC-2,D,47767.36
Tom Rice,"RICE, TOM",SC-7,R,1302645.00
Robert Williams,"WILLIAMS, ROBERT",SC-7,D,12962.43
Mark Green,"GREEN, MARK DR.",TN-7,R,1638118.08
Justin Kanew,"KANEW, JUSTIN",TN-7,D,263135.50
Louis B Gohmert Jr.,"GOHMERT, LOUIS B. MR. JR.",TX-1,R,674022.32
Shirley McKellar,"MCKELLAR, SHIRLEY JONETTA  DR",TX-1,D,26539.13
Van Taylor,"TAYLOR, NICHOLAS V.",TX-3,R,2534565.43
Lorie Burch,"BURCH, LORIE LOUISE",TX-3,D,179759.41
Jana Lynne Sanchez,"SANCHEZ, JANA LYNNE MS",TX-6,D,358960.19
Ron Wright,"WRIGHT, RON",TX-6,R,313175.68
Marc Veasey,"VEASEY, MARC ALLISON MR.",TX-33,D,1078536.50
Willie Billups,"BILLUPS, WILLIE KAILAWN",TX-33,R,61830.17
Jennie Lou Leeder,"LEEDER, VIRGINIA LOUISE",TX-11,D,48489.01
Mike Conaway,"CONAWAY, MICHAEL HONORABLE",TX-11,R,1701959.23
Adrienne Bell,"BELL, ADRIENNE",TX-14,D,105067.44
Randy Weber,"WEBER, RANDY",TX-14,R,557622.45
Rick Seeberger,"SEEBERGER, RICK",TX-16,R,28312.24
Veronica Escobar,"ESCOBAR, VERONICA",TX-16,D,1185637.69
Joseph Kopser,"KOPSER, JOSEPH",TX-21,D,1594724.99
Chip Roy,"ROY, CHIP",TX-21,R,936938.73
Roger Williams,"WILLIAMS, ROGER",TX-25,R,1119040.50
Julie Oliver,"OLIVER, JULIE LYNN",TX-25,D,202190.29
Filemon Vela,"VELA, FILEMON",TX-34,D,795495.72
Rey Gonzalez,"GONZALEZ, REY DR.",TX-34,R,49050.75
Sylvia Garcia,"GARCIA, SYLVIA R",TX-29,D,872971.30
Phillip Aronoff,PHILLIP ARNOLD ARONOFF,TX-29,R,52560.03
Joaquin Castro,"CASTRO, JOAQUIN",TX-20,D,764506.43
Rob Bishop,"BISHOP, ROBERT",UT-1,R,851055.95
Lee Castillo,"CASTILLO, LEE MR",UT-1,D,6272.56
Chris Stewart,"STEWART, CHRIS",UT-2,R,705950.25
Shireen Ghorbani,"GHORBANI, SHIREEN SARAH",UT-2,D,109604.65
Ryan McAdams,"MCADAMS, RYAN A. MR.",VA-4,R,63108.83
Donald McEachin,"MCEACHIN, ASTON DONALD",VA-4,D,654831.65
Ben Cline,"CLINE, BENJAMIN LEE",VA-6,R,393628.69
Jennifer Lewis,"LEWIS, JENNIFER LYNN",VA-6,D,72778.71
Suzan DelBene,"DELBENE, SUZAN K",WA-1,D,1536165.26
Jeffrey Beeler,"BEELER, JEFFREY ALLEN SR",WA-1,R,7140.00
Joseph Brumbles,"FLEMMING, STANLEY L K",WA-10,R,0.00
Dennis Heck,"HECK, DENNIS",WA-10,D,1133086.43
Ron Kind,"KIND, RONALD JAMES",WI-3,D,1845452.07
Steve Toft,"TOFT, STEVE",WI-3,R,215668.02
Bradley Byrne,"BYRNE, BRADLEY ROBERTS",AL-1,R,1001925.17
Robert Kennedy Jr.,"KENNEDY, ROBERT JR.",AL-1,D,133664.39
French Hill,"HILL, JAMES FRENCH",AR-2,R,1954935.48
Clarke Tucker,"TUCKER, EVERETT CLARKE IV",AR-2,D,975518.06
Zoe Lofgren,"LOFGREN, ZOE",CA-19,D,1369556.42
Christine Russell,"FOX, RICHARD B",CA-18,R,0.00
Anna Eshoo,"ESHOO, ANNA G",CA-18,D,1021364.98
Maxine Waters,"WATERS, MAXINE",CA-43,D,1099216.66
Omar Navarro,"NAVARRO, OMAR",CA-43,R,351780.31
Tatiana Matta,"MATTA, TATIANA",CA-23,D,34974.57
Kevin McCarthy,"MCCARTHY, KEVIN",CA-23,R,6583490.15
Justin Fareed,"FAREED, JUSTIN",CA-24,R,763813.38
Salud Carbajal,"CARBAJAL, SALUD",CA-24,D,2223453.59
Mark Reed,"KLEINMAN, PABLO",CA-30,R,0.00
Brad Sherman,"SHERMAN, BRAD",CA-30,D,972184.00
Pete Aguilar,"AGUILAR, PETE",CA-31,D,2120678.79
Sean Flynn,"FLYNN, SEAN",CA-31,R,907967.29
Norma Torres,"TORRES, NORMA",CA-35,D,508317.36
Christian Valiente,"VALIENTE, CHRISTIAN",CA-35,R,1259.00
Harry Arora,"ARORA, HARRY",CT-4,R,720842.37
Jim Himes,"HIMES, JIM",CT-4,D,1575808.76
Buddy Carter,"CARTER, EARL LEROY",GA-1,R,1414181.00
Lisa Ring,"RING, LISA M.",GA-1,D,103756.49
Dominick Stella,"STELLA, DOMINICK J. M.D.",IL-11,R,187392.58
Bill Foster,"FOSTER, G. WILLIAM (BILL)",IL-11,D,1832162.44
James Comer,"COMER, JAMES",KY-1,R,582566.95
Paul Walker,"WALKER, PAUL",KY-1,D,15048.97
Jared Golden,"GOLDEN, JARED",ME-2,D,1179517.22
Bruce Poliquin,"POLIQUIN, BRUCE L",ME-2,R,3178414.89
Matt Longjohn,"LONGJOHN, MATT",MI-6,D,672095.47
Fred Upton,"UPTON, FREDERICK STEPHEN",MI-6,R,2226505.99
Haley Stevens,"STEVENS, HALEY",MI-11,D,1037752.25
Lena Epstein,"EPSTEIN, LENA ROSE",MI-11,R,1648799.46
Dave Hughes,"HUGHES, DAVID",MN-7,R,139019.30
Collin Peterson,"PETERSON, COLLIN CLARK",MN-7,D,1040328.33
Jason Smith,"SMITH, JASON T",MO-8,R,1586458.50
Kathryn Ellis,"ELLIS, KATHRYN GAIL",MO-8,D,113858.76
Virginia Foxx,"FOXX, VIRGINIA ANN",NC-5,R,1749825.80
Denise Darcel Adams,"ADAMS, DENISE DARCEL",NC-5,D,196549.81
Josh Gottheimer,"GOTTHEIMER, JOSH",NJ-5,D,5208050.29
John McCann,"MCCANN, JOHN JOSEPH MR. JR.",NJ-5,R,432362.51
Bill Pascrell Jr.,"PASCRELL, WILLIAM J. JR.",NJ-9,D,1198653.71
Eric Fisher,"CASTILLO, HECTOR DR.",NJ-9,R,0.00
Daryl Kipnis,"CORSI, DAVID",NJ-12,R,0
Bonnie Coleman,"COLEMAN, BONNIE WATSON",NJ-12,D,691536.38
Gregory W Meeks,"MEEKS, GREGORY W.",NY-5,D,760086.98
Claudia Tenney,"TENNEY, CLAUDIA",NY-22,R,1963251.94
Anthony Brindisi,"BRINDISI, ANTHONY",NY-22,D,1938414.60
Susan Palmer,"PALMER, SUSAN MORAN",OH-16,D,72638.80
Anthony Gonzalez,"GONZALEZ, ANTHONY E",OH-16,R,1357438.12
Frank D Lucas,"LUCAS, FRANK D.",OK-3,R,828198.41
Kurt Schrader,"SCHRADER, KURT",OR-5,D,1585789.34
Mark Callahan,"CALLAHAN, MARK ALLEN",OR-5,R,13311.99
Mary Scanlon,"SCANLON, MARY GAY",PA-5,D,1048398.78
Pearl Kim,"KIM, PEARL",PA-5,R,350321.22
Ron DiNicola,"DINICOLA, RONALD A.",PA-16,D,560686.43
Mike Kelly,"KELLY, GEORGE J JR",PA-16,R,1778514.42
Renee Hoyos,"HOYOS, RENEE",TN-2,D,139267.84
Tim Burchett,"BURCHETT, TIM",TN-2,R,634912.20
Al Green,"GREEN, ALEXANDER",TX-9,D,387334.96
Brian Babin,"BABIN, BRIAN",TX-36,R,899638.32
Dayna Steele,"STEELE, DAYNA MS.",TX-36,D,516859.64
Jodey Arrington,"ARRINGTON, JODEY COOK",TX-19,R,1053268.80
Miguel Levario,"LEVARIO, MIGUEL ANTONIO MR. PHD",TX-19,D,55271.59
Sri Kulkarni,"KULKARNI, SRI PRESTON",TX-22,D,448680.57
Pete Olson,"OLSON, PETER G.",TX-22,R,1061636.72
James Singer,"SINGER, JAMES COURAGE",UT-3,D,4659.00
John Curtis,"CURTIS, JOHN",UT-3,R,1331934.58
Bobby Scott,"SCOTT, ROBERT C MR",VA-3,D,365016.28
Dave Brat,"BRAT, DAVID ALAN MR.",VA-7,R,1332894.18
Abigail Spanberger,"SPANBERGER, ABIGAIL",VA-7,D,1351549.69
Lisa Brown,"BROWN, LISA",WA-5,D,2393047.58
Cathy McMorris Rodgers,"MCMORRIS RODGERS, CATHY",WA-5,R,3854842.00
Pramila Jayapal,"JAYAPAL, PRAMILA",WA-7,D,1664077.47
Craig Keller,"KELLER, CRAIG",WA-7,R,3100.00
Adam Smith,"SMITH, D. ADAM",WA-9,D,601715.48
Sarah Smith,"SMITH, SARAH",WA-9,D,57324.72
Robert B Aderholt,"ADERHOLT, ROBERT B. REP.",AL-4,R,1258842.08
Lee Auman,"AUMAN, JAMES LEE",AL-4,D,21058.07
Jessica Morse,"MORSE, JESSICA",CA-4,D,1461622.61
Tom McClintock,"MCCLINTOCK, THOMAS",CA-4,R,1188803.73
Peter Yu,"YU, PETER",CO-2,R,12271.00
Joseph Neguse,"NEGUSE, JOSEPH",CO-2,D,852007.69
Hank Johnson,"JOHNSON, HENRY C. 'HANK",GA-4,D,368189.69
Joe Profit,"PROFIT, JOSEPH",GA-4,R,9200.00
John Lewis,"LEWIS, JOHN R.",GA-5,D,2659729.77
John A Yarmuth,"YARMUTH, JOHN A",KY-3,D,545589.56
Vickie Glisson,"GLISSON, VICKIE YATES BROWN",KY-3,R,465356.48
Elijah E Cummings,"CUMMINGS, ELIJAH E",MD-7,D,780271.14
Richmond Davis,"DAVIS, RICHMOND",MD-7,R,11108.86
Mark Holbrook,"HOLBROOK, MARK IRVING DR",ME-1,R,64946.87
Chellie Pingree,"PINGREE, CHELLIE M",ME-1,D,398999.58
Travis Wines,"WHITNEY, TERRY",MI-5,R,0
Dan Kildee,"KILDEE, DANIEL T.",MI-5,D,821850.71
Tom Emmer,"EMMER, THOMAS EARL JR.",MN-6,R,1730184.31
Ian Todd,"TODD, IAN ANDREW",MN-6,D,33971.19
Cort Vanostran,"VANOSTRAN, CORT",MO-2,D,862786.12
Ann L Wagner,"WAGNER, ANN L.",MO-2,R,2497816.60
Michael Guest,"GUEST, MICHAEL PATRICK",MS-3,R,612931.20
Michael Ted Evans,"AYCOX, KEVIN MICHAEL",MS-3,D,10502.75
Albio Sires,"SIRES, ALBIO",NJ-8,D,243263.31
John Muniz,"MUNIZ, JOHN R",NJ-8,R,250.00
Greg Walden,"WALDEN, GREGORY P. MR.",OR-2,R,4242647.18
Jamie McLeod-Skinner,"MCLEOD-SKINNER, JAMIE",OR-2,D,282255.39
Phil Roe,"ROE, DAVID PHILLIP DR.",TN-1,R,309469.00
Martin Olsen,"OLSEN, MARTIN",TN-1,D,71371.98
Vangie Williams,"WILLIAMS, VANGIE",VA-1,D,97837.79
Rob Wittman,"WITTMAN, ROBERT J MR.",VA-1,R,1135747.14
Randy Bryce,"BRYCE, RANDY",WI-1,D,6254754.67
Bryan Steil,"STEIL, BRYAN GEORGE",WI-1,R,750336.86
Tom Palzewicz,"PALZEWICZ, TOM",WI-5,D,148742.65
F James Sensenbrenner Jr.,"SENSENBRENNER, F. JAMES JR.",WI-5,R,257547.60
Richard Ojeda,"OJEDA, RICHARD NEECE SENATOR II",WV-3,D,514945.62
Carol Miller,"MILLER, CAROL DEVINE",WV-3,R,818091.81
Barbara Lee,"LEE, BARBARA",CA-13,D,1294640.16
Jackie Speier,"SPEIER, JACKIE",CA-14,D,816387.28
Debra Haaland,"HAALAND, DEBRA",NM-1,D,1141921.95
Janice Arnold-Jones,"ARNOLD-JONES, JANICE E",NM-1,R,122187.43
Nita M Lowey,"LOWEY, NITA M",NY-17,D,1170772.34
Mark Pocan,"POCAN, MARK",WI-2,D,801147.70
